Raton;Sexo;Tratamiento;Camada;5;10;15;20;25;30
w3;Hembra;Estradiol;H50;14;16;17;18;20;17
w2;Hembra;Estradiol;H47;10;16;16;15;15;15
w1;Hembra;Estradiol;H39;9;15;15;15;17;18
w4;Hembra;Estradiol;H52;11;13;12;15;17;17
w8;Hembra;Estradiol;H47;5;12;14;14;15;14
w5;Hembra;Estradiol;H55;7;14;17;16;20;20
w6;Hembra;Estradiol;H38;12;12;16;14;18;19
w7;Hembra;Estradiol;H39;6;10;9;14;18;17
w32;Hembra;Estradiol;H52;6;16;17;17;17;17
w28;Hembra;Estradiol;H52;5;10;10;12;15;18
w26;Hembra;Estradiol;H47;5;8;13;15;18;15
w27;Hembra;Estradiol;H50;0;6;13;13;17;13
w17;Hembra;Estradiol;H55;8;11;17;14;16;18
w18;Hembra;Estradiol;H38;7;13;15;12;20;17
w20;Hembra;Estradiol;H50;0;5;4;7;4;7
w11;Hembra;Control;H55;10;13;13;18;17;20
w9;Hembra;Control;H50;9;9;11;6;12;17
w12;Hembra;Control;H38;14;10;12;8;18;13
w10;Hembra;Control;H52;13;14;10;16;18;13
w13;Hembra;Control;H39;2;7;11;10;12;10
w15;Hembra;Control;H50;0;4;6;9;5;8
w16;Hembra;Control;H52;2;6;7;6;5;13
w14;Hembra;Control;H47;10;12;13;14;16;14
w21;Hembra;Control;H47;11;13;14;15;13;17
w23;Hembra;Control;H52;5;12;12;17;18;19
w24;Hembra;Control;H55;8;13;13;16;17;19
w22;Hembra;Control;H50;8;12;12;17;11;17
w34;Macho;Estradiol;H47;18;17;19;20;20;20
w33;Macho;Estradiol;H39;3;15;11;14;15;10
w35;Macho;Estradiol;H50;13;13;15;19;20;20
w36;Macho;Estradiol;H52;2;3;7;10;12;14
w39;Macho;Estradiol;H39;9;15;14;17;13;18
w38;Macho;Estradiol;H38;14;15;16;16;17;16
w40;Macho;Estradiol;H47;3;11;15;16;14;17
w37;Macho;Estradiol;H55;4;18;14;15;15;15
w43;Macho;Estradiol;H55;3;7;7;17;13;16
w42;Macho;Estradiol;H52;2;2;4;4;11;13
w44;Macho;Estradiol;H39;0;0;1;6;8;13
w41;Macho;Estradiol;H50;9;11;12;15;15;16
w52;Macho;Estradiol;H47;6;8;16;11;16;14
w51;Macho;Estradiol;H38;9;10;10;10;8;11
w49;Macho;Estradiol;H52;5;8;13;16;17;18
w50;Macho;Estradiol;H55;16;17;15;13;18;15
w46;Macho;Control;H47;4;6;6;7;10;16
w47;Macho;Control;H50;9;7;12;12;15;14
w48;Macho;Control;H38;4;7;16;10;11;11
w45;Macho;Control;H39;2;8;6;8;14;12
w56;Macho;Control;H39;5;8;6;9;13;17
w53;Macho;Control;H50;6;13;20;19;20;19
w54;Macho;Control;H52;5;8;14;15;15;15
w55;Macho;Control;H55;16;17;20;20;20;20
w59;Macho;Control;H55;10;18;16;18;20;20
w57;Macho;Control;H47;12;16;17;14;16;16
w60;Macho;Control;H38;3;5;9;5;10;11
w58;Macho;Control;H52;13;13;18;18;16;18
w64;Macho;Control;H47;15;14;15;20;18;13
w62;Macho;Control;H38;7;10;9;10;7;9
w61;Macho;Control;H55;5;8;16;16;16;7
w63;Macho;Control;H39;6;12;10;13;12;10
